	wildtype	KRAS	NRAS
ALMC1_DJ_p27	0.5404294048737955	0.2053073002439053	0.25426329488229915
ALMC2_DJ_p11	0.7409480631871894	0.137715574054901	0.12133636275790954
AMO1_DSMZ_p8	0.3662382596384186	0.418312191942907	0.21544954841867442
ANBL6_DJ2_p13	0.5739652483401307	0.2295456528783203	0.19648909878154888
COLO677_DSMZ_p8	0.6074522697018514	0.2993925303048713	0.09315519999327732
Delta47_JCRB_p16	0.41221316121013113	0.09889387694326494	0.48889296184660386
DP6_DJ_p7	0.08853408976971211	0.6605998471249848	0.2508660631053031
EJM_DSMZ_p9	0.7626040619778587	0.0444837554214227	0.19291218260071868
FLAM76_JCRB_p10	0.6663407151293	0.2139447497100726	0.11971453516062742
FR4_p6	0.6100909553295009	0.09404912926906298	0.2958599154014362
H1112_p5	0.5190813456139143	0.34831101931910935	0.13260763506697637
INA6_p5	0.29413974745732374	0.13365444158225814	0.5722058109604181
JIM1_ECACC_p11	0.1711547415115821	0.4626128247706604	0.3662324337177575
JIM3_ECACC_p10	0.2767314151260185	0.5355693547007933	0.18769923017318813
JJN3_DSMZ_p8	0.37482544006089547	0.29357953779310875	0.3315950221459958
JK6L_p5	0.03247133761888336	0.5095356229951615	0.4579930393859551
JMW1_PLB_p6	0.2962935475695634	0.5514723808659058	0.15223407156453078
Karpas25_ECACC_p8	0.468432379116489	0.12344715109298333	0.40812046979052763
Karpas417_ECACC_p12	0.004842893313428362	0.44590663577788736	0.5492504709086844
Karpas620_DSMZ_p14	0.1967987863671204	0.6717518128267663	0.13144940080611336
Karpas929_ECACC_p15	0.27743893504597517	0.16096903844748642	0.5615920265065383
KAS61_DJ_p5	0.3684502549903268	0.3592700685351808	0.27227967647449236
KHM11_p7	0.03356181064583521	0.46502049136078	0.5014176979933849
KHM1B_JCRB_p12	0.200870807727025	0.32060991226207536	0.47851928001089955
KMM1_JCRB_p13	0.5011685075400543	0.2635604188586785	0.23527107360126723
KMS11_JCRB_Adh_p9	0.6680633266514285	0.18901542520015502	0.14292124814841656
KMS11_JCRB_Sus_p12	0.7272112948416942	0.12789671744421244	0.14489198771409326
KMS12BM_JCRB_p9	0.6576616450568443	0.11220937690211895	0.23012897804103674
KMS12PE_JCRB_p9	0.5536407677439846	0.013890002343239876	0.4324692299127756
KMS18_p12	0.6708901200164749	0.2088469967037155	0.12026288327980972
KMS20_JCRB_p18	0.5792987332933973	0.22456457159553692	0.1961366951110658
KMS21BM_JCRB_p10	0.038623716528756034	0.400005480490936	0.561370802980308
KMS26_JCRB_p9	0.800106780142704	0.14778658178041618	0.05210663807687988
KMS27_JCRB_p8	0.2958753053591332	0.2901980243088143	0.41392667033205244
KMS28BM_JCRB_p9	0.34290204942143454	0.3767011868329683	0.2803967637455971
KMS28PE_JCRB_p9	0.29044612413399595	0.5080966182087338	0.2014572576572702
KMS34_JCRB_p10	0.5823454964774913	0.0974185419294764	0.32023596159303225
KP6_DJ_p8	0.11490066577696044	0.46687971298398595	0.41821962123905354
L363_DSMZ_p8	0.24748761538567463	0.0641319146400687	0.6883804699742566
LP1_DSMZ_p9	0.802968022253008	0.03739477742450676	0.15963720032248516
MM1R_ATCC_p7	0.20586259045912408	0.5322342247217065	0.2619031848191694
MM1S_ATCC_p7	0.36824724562020944	0.43113680690707806	0.2006159474727126
MMM1_p5	0.42179601611033796	0.10048745010609032	0.47771653378357176
MOLP2_DSMZ_p18	0.7476938022577555	0.15055448011155678	0.10175171763068769
MOLP8_DSMZ_p9	0.16008480342885328	0.2907208120176598	0.5491943845534869
NCIH929_DSMZ_p8	0.007179088259806937	0.4886799804764717	0.5041409312637213
OCIMY1_p6	0.4502702487988055	0.32624829778183617	0.22348145341935832
OCIMY5_p10	0.6574407586009829	0.0827032484179584	0.2598559929810586
OCIMY7_p8	0.3511444271842293	0.37815183434352984	0.270703738472241
OH2_PLB_p8	0.11247763877380675	0.4705469069212867	0.41697545430490657
OPM1_p7	0.2608617256913757	0.20941777149505963	0.5297205028135646
OPM2_DSMZ_p9	0.33687509711361524	0.22818841825132657	0.43493648463505813
PCM6_Riken_p6	0.6829849581665458	0.1302054449366965	0.1868095968967578
PE1_PLB_p10	0.46910737815385406	0.15926495829292903	0.37162766355321686
PE2_PLB_p9	0.19517751872521216	0.25194819009005104	0.5528742911847367
RPMI8226_ATCC_p7	0.3792574507201292	0.3812955671238715	0.23944698215599933
SKMM1_p6	0.1670533364079921	0.195773287253525	0.637173376338483
SKMM2_DSMZ_p17	0.796420654014976	0.07101825770826403	0.13256108827676008
U266_ATCC_p8	0.896587793479252	0.030455346957181235	0.07295685956356682
UTMC2_p6	0.7226932432686897	0.15744155509915453	0.11986520163215589
VP6_DJ_p5	0.7766569766809718	0.03674047309480599	0.18660255022422223
XG1_p5	0.35826254333218294	0.13983819794541952	0.5018992587223975
XG2_p5	0.40833648420481095	0.24062480292792202	0.35103871286726707
XG6_p5	0.32781286812723254	0.18817098357698064	0.4840161482957867
XG7_p6	0.03991349779745554	0.6460700552634688	0.31401644693907566
