	wildtype	KRAS	NRAS
MMRF_1021_1_BM	0.47586465784587767	0.48438948137054416	0.03974586078357826
MMRF_1024_2_BM	0.5809297054710559	0.14344021957592842	0.2756300749530156
MMRF_1029_1_BM	0.6420696996075708	0.31720636285901893	0.04072393753341028
MMRF_1030_1_BM	0.22989275357431493	0.6344330387780144	0.13567420764767063
MMRF_1032_1_BM	0.18639073482163265	0.6522523493270087	0.16135691585135875
MMRF_1033_1_BM	0.2082225875334287	0.3391649601235604	0.45261245234301095
MMRF_1037_1_BM	0.05386865099230284	0.4116886405658147	0.5344427084418825
MMRF_1038_1_BM	0.22699479319872215	0.35278926641634895	0.4202159403849289
MMRF_1045_1_BM	0.6887958228759191	0.22339858518832176	0.08780559193575918
MMRF_1048_1_BM	0.8380643715364526	0.10407588904236946	0.05785973942117794
MMRF_1049_2_BM	0.3449289011882334	0.2654597810642888	0.38961131774747776
MMRF_1049_4_BM	0.28615843733616536	0.30129960995000155	0.4125419527138331
MMRF_1068_1_BM	0.2603850031582126	0.22522194043126678	0.5143930564105206
MMRF_1073_1_BM	0.4024639555165494	0.13424947610083776	0.4632865683826129
MMRF_1078_1_BM	0.40337614889832707	0.48066031100815737	0.11596354009351549
MMRF_1079_1_BM	0.7021368539526088	0.2483937232888539	0.04946942275853741
MMRF_1079_2_BM	0.697947260027521	0.2289610214093824	0.0730917185630966
MMRF_1082_1_BM	0.17332234733132593	0.571935410124309	0.2547422425443651
MMRF_1085_3_BM	0.4004723365365936	0.4048794399503746	0.19464822351303177
MMRF_1086_1_BM	0.5830208802127109	0.09676700260820027	0.32021211717908876
MMRF_1092_1_BM	0.0507094239636002	0.3535423507365202	0.5957482252998796
MMRF_1098_1_BM	0.8448275597701064	0.049259573872904486	0.10591286635698918
MMRF_1100_1_BM	0.10320362504244741	0.3348574416214115	0.5619389333361411
MMRF_1107_1_BM	0.552291808077256	0.31940053629313586	0.12830765562960822
MMRF_1108_1_BM	0.318357896846906	0.3662407475107544	0.31540135564233956
MMRF_1110_2_BM	0.5999530174073561	0.07477347368355516	0.32527350890908885
MMRF_1112_3_BM	0.20883991312569058	0.2911413741734473	0.5000187127008622
MMRF_1128_1_BM	0.8630468924692406	0.0958538268162393	0.04109928071452009
MMRF_1131_2_BM	0.7582266855235034	0.13046580674004907	0.11130750773644751
MMRF_1137_4_BM	0.14324303612048886	0.3080136032596155	0.5487433606198956
MMRF_1148_1_BM	0.4018286478250288	0.3952029744043266	0.20296837777064455
MMRF_1151_1_BM	0.5590358128976872	0.27681824409654465	0.16414594300576818
MMRF_1152_1_BM	0.23757484533435036	0.558600967717282	0.20382418694836782
MMRF_1153_1_BM	0.28771572437965537	0.21239158782945605	0.49989268779088863
MMRF_1157_1_BM	0.4451058565195544	0.3961730027931133	0.15872114068733245
MMRF_1157_2_BM	0.43023737649654614	0.19936486161330208	0.37039776189015183
MMRF_1157_3_BM	0.410845465367836	0.21020253346433027	0.37895200116783384
MMRF_1157_4_BM	0.3879578982328964	0.1446270287734726	0.46741507299363094
MMRF_1164_1_BM	0.7268682311536038	0.17497008791575633	0.0981616809306399
MMRF_1167_1_BM	0.5962917459661449	0.07668412535078793	0.3270241286830672
MMRF_1171_1_BM	0.6034930317286883	0.054228601381218	0.34227836689009367
MMRF_1178_1_BM	0.731770657201479	0.16317609990511855	0.10505324289340247
